Income,Recency,Age,TotalSpendings,Children,MonthEnrollment
55635.0,34,44,590,1,26
67680.0,8,64,606,1,19
71613.0,26,50,776,0,17
62513.0,16,48,716,1,16
5648.0,68,65,49,2,10
58293.0,94,34,422,1,12
46610.0,8,63,302,2,27
76995.0,91,66,1782,1,22
58607.0,63,66,972,1,25
80011.0,3,35,1395,1,21
7500.0,19,40,31,1,15
28332.0,58,63,65,0,9
36138.0,48,45,151,2,18
42394.0,69,43,32,1,10
47823.0,0,55,72,1,18
52413.0,56,46,910,2,23
101970.0,69,32,1135,0,22
77376.0,72,59,661,2,8
41551.0,51,51,279,2,17
33762.0,61,56,106,3,18
49605.0,65,49,127,0,7
30523.0,0,57,13,3,18
50447.0,4,45,148,2,9
38872.0,93,27,91,1,20
83790.0,81,67,1615,0,14
34320.0,66,29,17,1,11
40737.0,24,58,17,3,13
43776.0,9,63,275,2,23
69267.0,31,62,1635,0,28
46377.0,89,37,90,1,10
22574.0,28,48,37,3,15
33996.0,46,26,71,0,16
22010.0,51,32,33,1,19
30675.0,14,43,62,1,26
46681.0,52,67,425,2,15
72025.0,27,53,1932,0,26
90300.0,7,36,1738,0,12
19789.0,24,40,78,1,14
37401.0,14,42,48,1,8
82584.0,26,41,1435,0,19
32011.0,89,44,122,1,17
42207.0,71,31,265,1,21
75261.0,17,60,1743,0,21
53790.0,86,64,542,2,10
61456.0,47,40,1388,1,22
37760.0,54,43,54,1,17
32233.0,26,41,296,1,29
83151.0,93,55,747,0,27
78952.0,11,57,2092,1,28
37040.0,41,33,316,0,29
72550.0,39,61,1319,2,26
79143.0,2,51,1693,0,29
85693.0,59,36,1169,1,21
24594.0,94,36,29,1,13
43974.0,19,35,551,1,25
30753.0,85,48,81,2,18
79607.0,37,31,1923,0,21
38547.0,49,34,22,1,17
74165.0,9,40,1293,0,20
52074.0,77,48,119,1,9
38285.0,96,56,10,3,7
74068.0,14,39,1581,0,22
24882.0,52,37,80,1,28
63693.0,63,37,1150,1,15
30732.0,44,35,185,1,24
61074.0,37,57,1102,1,29
45989.0,97,51,322,1,27
41728.0,92,47,55,1,20
38179.0,30,49,90,2,22
65640.0,74,41,461,1,10
30631.0,75,41,70,1,18
35416.0,62,66,390,0,19
39747.0,43,27,273,1,9
75693.0,10,47,1442,0,25
41411.0,11,29,139,0,13
33181.0,90,39,16,1,12
71952.0,93,29,1443,1,24
22585.0,23,45,81,0,22
75236.0,27,51,1068,1,14
30015.0,28,45,57,1,11
67272.0,12,49,733,1,13
50300.0,52,63,270,1,8
66582.0,83,46,1288,0,10
2447.0,42,36,1730,1,24
49389.0,55,64,65,2,17
7500.0,24,19,122,0,26
66653.0,18,40,612,2,28
66991.0,1,61,1253,0,28
54178.0,79,48,194,1,12
65486.0,29,58,507,1,8
86037.0,95,24,730,0,24
50785.0,27,53,114,2,16
55954.0,63,47,518,1,10
73448.0,10,46,725,0,11
52332.0,63,56,259,0,17
61823.0,26,63,884,1,23
80427.0,56,40,1835,1,28
25721.0,75,44,34,1,20
83837.0,79,67,1318,0,25
50150.0,32,32,410,0,19
16248.0,77,27,57,1,8
62981.0,21,48,1482,0,22
102160.0,54,38,1240,0,26
35860.0,37,42,49,2,8
69372.0,10,66,1381,0,23
48721.0,50,52,293,2,20
46097.0,11,59,241,1,22
53537.0,17,56,93,2,12
44377.0,70,47,264,2,27
38853.0,90,45,45,2,8
65176.0,57,46,1531,1,27
32303.0,63,45,39,1,10
26490.0,92,57,210,0,28
77622.0,3,45,714,2,9
64100.0,93,51,546,1,16
54198.0,13,49,235,2,13
75027.0,74,62,1390,1,24
47025.0,6,50,20,2,11
28839.0,86,59,32,2,10
27190.0,13,42,18,1,17
64325.0,41,54,1307,1,23
68682.0,56,24,1598,0,15
24072.0,79,32,23,1,21
53858.0,50,39,915,1,26
59292.0,71,65,507,1,19
61314.0,1,47,1008,1,21
81246.0,87,51,1379,0,13
82623.0,58,63,940,0,14
28442.0,53,37,57,2,11
36230.0,17,44,59,1,15
49269.0,92,44,890,1,29
70777.0,80,47,787,1,11
38961.0,60,42,70,1,13
55521.0,11,60,446,3,15
80134.0,11,21,1378,0,11
14045.0,24,46,20,1,12
76005.0,72,60,1722,0,23
93027.0,77,74,2119,0,21
18100.0,14,69,14,0,17
42618.0,92,43,192,1,15
70829.0,87,35,431,2,13
62010.0,93,43,530,1,27
43057.0,30,40,266,1,15
58308.0,77,51,900,1,24
60631.0,88,40,661,2,21
78497.0,44,64,978,0,13
57288.0,27,52,608,1,7
19510.0,63,30,30,2,16
9548.0,31,39,29,1,29
36921.0,74,50,38,2,18
65104.0,4,39,1053,1,14
61286.0,34,49,608,1,17
45759.0,13,51,68,2,23
45204.0,93,27,114,1,9
51369.0,84,39,576,1,27
51537.0,27,63,1103,1,25
37070.0,30,49,433,2,22
15033.0,37,64,19,0,9
80134.0,40,43,1690,1,20
63342.0,48,54,1101,1,27
44159.0,85,45,275,1,7
75278.0,17,63,930,0,24
66503.0,30,30,401,1,29
30372.0,33,44,44,2,25
38578.0,2,43,73,2,19
30279.0,13,26,37,1,25
31395.0,80,59,64,2,22
50437.0,28,52,490,2,27
49505.0,4,44,751,2,22
84865.0,1,54,1688,0,20
50943.0,49,59,46,1,19
60597.0,2,51,893,1,12
78642.0,83,44,1816,1,21
65275.0,9,71,746,0,21
40689.0,69,64,444,1,22
58138.0,58,58,1617,0,28
66373.0,57,37,606,2,19
46344.0,38,61,27,2,10
38360.0,26,26,131,1,20
75777.0,12,33,1438,0,18
74854.0,90,45,1562,3,21
90765.0,25,45,1724,0,12
68352.0,47,41,871,1,17
59354.0,59,62,459,2,9
30477.0,16,31,66,1,12
72460.0,56,46,1047,0,14
22212.0,49,40,69,1,13
23661.0,46,33,23,1,13
31160.0,59,40,64,1,16
33378.0,38,52,99,2,23
69867.0,30,29,925,0,21
63841.0,64,47,908,1,21
